Location,Year,TrackLength,NumDrs,NumCorners,TrackRotation,Turn1X,Turn1Y,Turn2X,Turn2Y,Turn3X,Turn3Y,Turn4X,Turn4Y,Turn5X,Turn5Y,Turn6X,Turn6Y,Turn7X,Turn7Y,Turn8X,Turn8Y,Turn9X,Turn9Y,Turn10X,Turn10Y,Turn11X,Turn11Y,Turn12X,Turn12Y,Turn13X,Turn13Y,Turn14X,Turn14Y,Turn15X,Turn15Y,Turn16X,Turn16Y,Turn17X,Turn17Y,Turn18X,Turn18Y,Turn19X,Turn19Y,Turn20X,Turn20Y,Turn21X,Turn21Y,Turn22X,Turn22Y,Turn23X,Turn23Y,Turn24X,Turn24Y,Turn25X,Turn25Y,Turn26X,Turn26Y,Turn27X,Turn27Y
Imola,2020,4.909,1,19,178.0,-4002.5498661460833,-1659.2946044991618,-10194.152086855822,-1797.2700204435946,-10487.442618448618,-2314.6945517724075,-11612.711556602806,-3147.8826331294936,-13160.352086037015,-7153.475069517273,-13043.750758589213,-8102.168121445727,-14871.735794051183,-10110.13631173347,-11074.14236341196,-9919.316626373356,-8677.443388922406,-9848.486839053796,-8237.282519977727,-8597.52562471613,-8627.001765725101,-6142.266366985422,-8140.502538082326,-5357.265931568226,-7328.02827991963,-5441.099711541869,-3203.535205733467,-5287.1526108486405,-2813.3766286096075,-5561.05664668873,1549.6159178222933,-2360.470641944083,3183.621546926235,-1411.8382518196768,2461.8283511989794,-336.4552654753461,-395.8334440528106,-1491.902321353356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Istanbul,2020,5.338,2,14,336.0,4771.724609375,-311.58404541015625,5860.09423828125,2537.9111328125,9505.0419921875,3386.4375,9645.8505859375,4719.64306640625,11039.833984375,4957.83349609375,10980.7724609375,5853.3193359375,6768.740234375,8445.9150390625,11462.9208984375,10080.83984375,4857.88134765625,9353.474609375,5033.83984375,8539.8515625,3465.40087890625,3532.689453125,-2846.72021484375,-431.93719482421875,-1936.921142578125,-905.0927734375,-1995.5133056640625,-1766.189697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sakhir,2020,3.543,2,0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yas Island,2020,5.554,2,21,280.0,758.1060791015625,6586.18017578125,289.2606201171875,8810.6279296875,-1342.8572998046875,9963.333984375,-1215.64599609375,11871.841796875,-1329.310791015625,14455.244140625,-1822.6177978515625,14902.4365234375,-1652.641357421875,16067.1279296875,-5805.00927734375,4591.0283203125,-5142.84423828125,4383.76318359375,-3935.77490234375,2022.2926025390625,1657.04052734375,-1591.1627197265625,1984.38232421875,-1105.0916748046875,2354.76171875,-825.3573608398438,2322.87646484375,423.0693359375,-410.5672607421875,200.03628540039062,-1822.58642578125,1149.9744873046875,-2014.4530029296875,2270.25537109375,-948.2383422851562,2550.0498046875,-923.211669921875,3657.02001953125,-3897.388916015625,3670.621337890625,-4730.4609375,5532.771484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sakhir,2021,5.412,3,15,92.0,42.40593929993702,8329.202564224179,820.7816212551479,7879.043840540197,1912.969997301606,8065.44216673751,7487.745292571566,6790.71071569364,5820.228442599813,4860.740936217904,5180.404120509692,4214.598861214608,4276.202937249183,4156.240630824386,2490.099010685538,2458.6003965290042,2711.1552878922835,5950.242339493996,2100.132715648695,6613.999850943207,2120.9852205176358,-663.9950720811103,4981.251161545602,1603.7476220625608,6665.934072283377,449.2756371061455,-145.4124578081196,-3472.8085483980503,-552.8126057447134,-2803.66625094119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imola,2021,4.909,1,19,178.0,-4002.5498661460833,-1659.2946044991618,-10194.152086855822,-1797.2700204435946,-10487.442618448618,-2314.6945517724075,-11612.711556602806,-3147.8826331294936,-13160.352086037015,-7153.475069517273,-13043.750758589213,-8102.168121445727,-14871.735794051183,-10110.13631173347,-11074.14236341196,-9919.316626373356,-8677.443388922406,-9848.486839053796,-8237.282519977727,-8597.52562471613,-8627.001765725101,-6142.266366985422,-8140.502538082326,-5357.265931568226,-7328.02827991963,-5441.099711541869,-3203.535205733467,-5287.1526108486405,-2813.3766286096075,-5561.05664668873,1549.6159178222933,-2360.470641944083,3183.621546926235,-1411.8382518196768,2461.8283511989794,-336.4552654753461,-395.8334440528106,-1491.902321353356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portimão,2021,4.653,2,15,74.0,-3572.43603515625,7808.1279296875,-2277.677001953125,8685.6494140625,-892.9807739257812,8235.65234375,-1895.142333984375,7221.09912109375,-194.9493408203125,1906.0338134765625,16.85721778869629,4148.71337890625,-798.828857421875,6282.61376953125,262.0026550292969,7177.99755859375,859.696533203125,3923.0576171875,2965.125732421875,2481.553466796875,3071.564453125,1833.7901611328125,1188.5244140625,923.5015258789062,730.5706787109375,-925.0730590820312,2383.842529296875,231.95425415039062,624.3900756835938,-2768.75927734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barcelona,2021,4.675,2,16,303.0,-3728.05029296875,-7258.6728515625,-4538.2138671875,-7090.6689453125,-6846.68701171875,-7532.82373046875,-5053.705078125,-3172.251708984375,-5760.50341796875,-6343.96533203125,-3511.338623046875,-5588.65185546875,-2657.036865234375,-4195.921875,-3287.30078125,-3536.36962890625,-3938.748046875,-911.7788696289062,869.1649169921875,1933.093017578125,-326.2638854980469,2196.596435546875,-1556.8873291015625,2107.8310546875,-170.4140625,3724.0,883.0264892578125,3076.24169921875,1272.7481689453125,3302.875244140625,2294.98974609375,2150.14013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monte Carlo,2021,3.337,1,19,315.0,-7381.10693359375,-4719.94921875,-3634.549072265625,-3769.346435546875,-2275.6494140625,-3071.90087890625,-2745.11328125,-1956.1094970703125,-1422.224853515625,-197.89369201660156,-797.2467651367188,-1127.089111328125,-1016.8847045898438,-477.5965576171875,-271.22930908203125,-251.0789794921875,-1126.0921630859375,-3321.8916015625,-4159.9892578125,-4441.59521484375,-4579.203125,-4621.61669921875,-6814.4267578125,-4914.705078125,-7167.99951171875,-6327.60107421875,-6992.05419921875,-6563.8642578125,-6752.3818359375,-7870.388671875,-6875.2265625,-8042.5830078125,-6723.556640625,-8744.119140625,-5928.0,-9572.421875,-6718.7294921875,-9704.8701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baku,2021,6.003,2,20,357.0,3689.0374001567743,631.3189725875945,2384.0669137610676,3686.0714516243042,-5565.825567829175,374.2425523226766,-4862.6651767420935,-1723.1620080668729,-7728.697050002749,-3377.074091094411,-7617.318818496836,-3926.026038238873,-10710.063798831094,-6235.337256785684,-11409.887894367614,-4438.977047761271,-11606.2553499057,-4286.033173998214,-11886.309274295963,-4199.07140004945,-12352.278964478111,-4129.880226960703,-12573.09027225614,-3645.1900160358095,-16186.999703336216,-5197.330621083427,-16888.82437537549,-7335.751780162162,-16846.43031172375,-9555.895632026248,-13660.610623947281,-11108.575388918323,-12714.251049135808,-9481.44133662404,-11029.53380137574,-7796.23853385484,-10524.590291121332,-6346.5942106800085,-8077.3100390339205,-4403.674074673621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
